TimeStep,Time,"acouPressureImag","acouPressureReal","origNodeNums","origElementNums","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
87,2142.107,nan,nan,0,0,0,0,0.001,0.001,0.366513
87,2142.107,-0.003244764,63.20724,21867,370455,1,3.299117e-05,0.001,0.001,0.36648
87,2142.107,-0.006543112,63.21459,23311,370455,1,6.601214e-05,0.001,0.001,0.366447
87,2142.107,-0.009838482,63.22194,24753,370455,1,9.900331e-05,0.001,0.001,0.366414
87,2142.107,-0.01313385,63.22929,26196,370455,1,0.0001319945,0.001,0.001,0.366381
87,2142.107,-0.01642922,63.23665,27639,370455,1,0.0001649857,0.001,0.001,0.366348
87,2142.107,-0.01972757,63.244,29083,370455,1,0.0001980066,0.001,0.001,0.366315
87,2142.107,-0.02302294,63.25135,30526,370455,1,0.0002309978,0.001,0.001,0.366282
87,2142.107,-0.02631831,63.2587,31969,370455,1,0.000263989,0.001,0.001,0.366249
87,2142.107,-0.02961666,63.26606,33413,370455,1,0.0002970099,0.001,0.001,0.366216
87,2142.107,-0.03291203,63.27341,34856,370455,1,0.0003300011,0.001,0.001,0.366183
87,2142.107,-0.0362074,63.28076,36299,370455,1,0.0003629923,0.001,0.001,0.36615
87,2142.107,-0.03950575,63.28812,37743,370455,1,0.0003960133,0.001,0.001,0.366117
87,2142.107,-0.04280112,63.29547,39186,370455,1,0.0004290044,0.001,0.001,0.366084
87,2142.107,-0.04609649,63.30282,40628,370455,1,0.0004619956,0.001,0.001,0.366051
87,2142.107,-0.04939186,63.31017,42071,370455,1,0.0004949868,0.001,0.001,0.366018
87,2142.107,-0.05269021,63.31752,43515,370455,1,0.0005280077,0.001,0.001,0.365985
87,2142.107,-0.05598558,63.32487,44958,370455,1,0.0005609989,0.001,0.001,0.365952
87,2142.107,-0.05928095,63.33222,46401,370455,1,0.0005939901,0.001,0.001,0.365919
87,2142.107,-0.0625793,63.33958,47845,370455,1,0.0006270111,0.001,0.001,0.365886
87,2142.107,-0.06587467,63.34693,49288,370455,1,0.0006600022,0.001,0.001,0.365853
87,2142.107,-0.06917004,63.35428,50731,370455,1,0.0006929934,0.001,0.001,0.36582
87,2142.107,-0.07246839,63.36164,52175,370455,1,0.0007260144,0.001,0.001,0.365787
87,2142.107,-0.07576376,63.36899,53618,370455,1,0.0007590055,0.001,0.001,0.365754
87,2142.107,-0.07905913,63.37634,55060,370455,1,0.0007919967,0.001,0.001,0.365721
87,2142.107,-0.0823545,63.38369,56503,370455,1,0.0008249879,0.001,0.001,0.365688
87,2142.107,-0.08565285,63.39105,57947,370455,1,0.0008580089,0.001,0.001,0.365655
87,2142.107,-0.08894822,63.3984,59390,370455,1,0.000891,0.001,0.001,0.365622
87,2142.107,-0.09224359,63.40575,60833,370455,1,0.0009239912,0.001,0.001,0.365589
87,2142.107,-0.09554193,63.4131,62277,370455,1,0.0009570122,0.001,0.001,0.365556
87,2142.107,-0.09883731,63.42045,63720,370455,1,0.0009900033,0.001,0.001,0.365523
87,2142.107,-0.1021327,63.4278,65163,370455,1,0.001022995,0.001,0.001,0.36549
87,2142.107,-0.105431,63.43516,66607,370455,1,0.001056015,0.001,0.001,0.365457
87,2142.107,-0.1087264,63.44251,68050,370455,1,0.001089007,0.001,0.001,0.365424
87,2142.107,-0.1109086,63.44738,66678,370446,1,0.001121998,0.001,0.001,0.365391
87,2142.107,-0.1128901,63.4518,64798,370446,1,0.001154989,0.001,0.001,0.365358
87,2142.107,-0.1148733,63.45622,62917,370446,1,0.00118801,0.001,0.001,0.365325
87,2142.107,-0.1168548,63.46064,61037,370446,1,0.001221001,0.001,0.001,0.365292
87,2142.107,-0.1171652,63.46133,55527,547328,1,0.001253992,0.001,0.001,0.365259
87,2142.107,-0.1193141,63.46539,53075,548707,1,0.001287013,0.001,0.001,0.365226
87,2142.107,-0.123011,63.47224,53168,548707,1,0.001320004,0.001,0.001,0.365193
87,2142.107,-0.126708,63.47909,53261,548707,1,0.001352996,0.001,0.001,0.36516
87,2142.107,-0.1304083,63.48595,53354,548707,1,0.001386017,0.001,0.001,0.365127
87,2142.107,-0.1341053,63.4928,53446,548707,1,0.001419008,0.001,0.001,0.365094
87,2142.107,-0.1378023,63.49965,53539,548707,1,0.001451999,0.001,0.001,0.365061
87,2142.107,-0.1414993,63.5065,53632,548707,1,0.00148499,0.001,0.001,0.365028
87,2142.107,-0.1451881,63.51311,53547,370443,1,0.001518011,0.001,0.001,0.364995
87,2142.107,-0.1488752,63.51975,53487,370443,1,0.001551002,0.001,0.001,0.364962
87,2142.107,-0.1525624,63.52639,53427,370443,1,0.001583993,0.001,0.001,0.364929
87,2142.107,-0.1562528,63.53304,53367,370443,1,0.001617014,0.001,0.001,0.364896
87,2142.107,-0.15994,63.53968,53307,370443,1,0.001650006,0.001,0.001,0.364863
